net,sta,lat,lon,elev,lito,lito_code,luse,luse_code,coast_dist,road_dist
IT,GRA,46.149,9.3061,0.291,3,Al,210,ACL,195.121299899853,34.292363839250235
IT,GRD,42.1785,14.1798,0.701,3,Al,100,SL,27.9222580861822,5.086353427939273
IT,GRM,40.3102,15.886,0.586,16,Ccr,210,ACL,35.8476702771382,64.88166990797639
IT,GRN,41.8134,13.3169,1.206,12,Cr,100,SL,57.3348360301536,3.234659342018068
IT,GRO,40.6002,16.3856,0.489,16,Ccr,100,SL,47.4044723593382,7.979348023436541
IT,GRS,45.369,7.281,1.081,17,Ucr,100,SL,157.43603821329,13.536843237744431
IT,GSA,42.4207,13.5194,1.063,17,Ucr,210,ACL,50.4808350660481,115.99526413784646
IT,GSG,42.459,13.55,0.777,10,M,230,GL,45.8828895749637,148.67944895741996
IT,GSM,38.172,14.8985,0.147,13,Ir,220,PCL,0.525283215443752,4.9122059036236125
IT,GSN,41.3072,14.4461,0.288,17,Ucr,300,FL,53.6093003402707,162.42256873842828
IT,GSS,40.6316,16.2791,0.512,17,Ucr,100,SL,56.5452095091238,6.948635440632145
IT,GTR,38.4484,15.918,0.038,17,Ucr,220,PCL,1.76526390372936,10.974464973775548
HA,INVI,46.4011,12.9008,0.35,3,Al,300,FL,80.119958890938,144.20643631903178
IT,ISD,45.2733,10.9602,0.04,3,Al,100,SL,104.889279446717,150.6569474763063
IT,ISG,42.5041,13.6497,0.445,3,Al,100,SL,36.3222684335079,34.994746442874536
IT,ISI,36.7977,14.8923,0.277,12,Cr,210,ACL,7.47282749077603,9.95739725745789
IT,ISNH,41.5837,14.2231,0.397,12,Cr,100,SL,56.4394198608393,16.479408136985942
IT,ISR,41.6106,14.2359,0.54,12,Cr,100,SL,59.3931007879794,22.023857776410043
IT,ITR,41.279,13.5193,0.221,17,Ucr,100,SL,5.54466630695037,11.020233698927072
IT,IVR,45.47,7.8822,0.31,13,Ir,100,SL,136.230709856717,4.857391602493331
IT,JESI,43.5292,13.2289,0.134,3,Al,100,SL,16.927621562103,35.4735574029963
IT,KRT,39.0698,17.1278,0.022,17,Ucr,100,SL,0.258999325664899,31.510592658103374
IT,LCA,37.1143,13.9124,0.015,3,Al,100,SL,1.76469206125223,47.64289080605468
IT,LCC,43.8446,10.5112,0.078,3,Al,100,SL,20.6104185120459,33.36874946236551
IT,LCCE,40.3559,18.1996,0.08,12,Cr,100,SL,9.11430011754172,0.7747206487620137
IT,LDP,42.0392,14.1826,0.766,16,Ccr,210,ACL,37.1595904525689,18.363247908278
IT,LDR,43.1147,10.9026,0.605,12,Cr,100,SL,24.831073536666,11.907189229916144
IT,LEC,45.8612,9.4122,0.231,12,Cr,100,SL,167.112674722801,32.957924147772424
IT,LGN,40.131,15.7585,0.803,2,CM,100,SL,13.196917729543,9.413713341965831
IX,LGS3,40.9865,14.9906,0.413,16,Ccr,100,SL,39.5823909042631,26.983031042901843
IT,LIC,37.1053,13.9074,0.197,12,Cr,340,OL,0.929666069966188,184.3011282205629
IX,LIO3,40.8969,15.1804,0.737,6,Ssr,210,ACL,42.084351931694,108.46359700158006
